Time,Zone,Entry,Exit,Total
2026-03-12 20:50:45.923642,All,0,1,4
2026-03-12 20:50:46.043498,All,0,1,1
2026-03-12 20:50:46.156968,All,0,1,0
2026-03-12 20:50:46.309968,All,0,1,0
2026-03-12 20:50:46.449579,All,0,1,2
2026-03-12 20:50:46.609532,All,0,1,0
2026-03-12 20:50:46.753134,All,0,1,2
2026-03-12 20:50:46.889234,All,0,2,1
2026-03-12 20:50:46.995553,All,1,2,1
2026-03-12 20:50:47.113986,All,1,2,1
2026-03-12 20:50:47.224405,All,1,2,1
2026-03-12 20:50:47.334173,All,1,2,1
2026-03-12 20:50:47.447061,All,1,2,3
2026-03-12 20:50:47.554685,All,1,2,1
2026-03-12 20:50:47.670141,All,1,2,2
2026-03-12 20:50:47.778188,All,2,2,2
2026-03-12 20:50:47.900657,All,2,2,2
2026-03-12 20:50:48.011010,All,2,2,3
2026-03-12 20:50:48.127370,All,2,2,2
2026-03-12 20:50:48.238256,All,2,2,3
2026-03-12 20:50:48.351549,All,3,2,3
2026-03-12 20:50:48.476587,All,3,2,3
2026-03-12 20:50:48.585864,All,3,3,4
2026-03-12 20:50:48.704345,All,6,3,4
2026-03-12 20:50:48.816673,All,6,3,4
2026-03-12 20:50:48.930521,All,6,3,2
2026-03-12 20:50:49.056732,All,6,3,3
2026-03-12 20:50:49.169248,All,6,4,3
2026-03-12 20:50:49.296998,All,6,4,1
2026-03-12 20:50:49.425111,All,6,4,0
2026-03-12 20:50:49.545130,All,6,4,1
2026-03-12 20:50:49.654610,All,6,4,2
2026-03-12 20:50:49.776468,All,6,4,1
2026-03-12 20:50:49.886023,All,6,4,3
2026-03-12 20:50:50.046405,All,6,4,0
2026-03-12 20:50:50.189937,All,6,4,0
2026-03-12 20:50:50.332776,All,6,4,2
2026-03-12 20:50:50.454628,All,6,4,1
2026-03-12 20:50:50.617157,All,6,4,1
2026-03-12 20:50:50.747299,All,6,4,1
2026-03-12 20:50:50.903509,All,6,4,0
2026-03-12 20:50:51.020828,All,6,4,0
2026-03-12 20:50:51.153210,All,6,4,0
2026-03-12 20:50:51.264936,All,6,4,0
2026-03-12 20:50:51.414278,All,6,4,0
2026-03-12 20:50:51.544404,All,6,4,0
2026-03-12 20:50:51.712923,All,6,4,0
2026-03-12 20:50:51.846124,All,6,4,2
2026-03-12 20:50:51.965008,All,6,4,1
2026-03-12 20:50:52.079291,All,6,4,1
2026-03-12 20:50:52.210370,All,6,4,1
2026-03-12 20:50:52.337701,All,6,4,1
2026-03-12 20:50:52.467152,All,6,4,2
2026-03-12 20:50:52.586998,All,6,4,1
2026-03-12 20:50:52.719307,All,6,4,1
2026-03-12 20:50:52.834951,All,6,4,1
2026-03-12 20:50:52.957209,All,6,4,0
2026-03-12 20:50:53.084018,All,6,4,0
2026-03-12 20:50:53.204208,All,6,4,1
2026-03-12 20:50:53.337764,All,7,4,1
2026-03-12 20:50:53.457778,All,7,4,1
2026-03-12 20:50:53.587298,All,7,4,0
2026-03-12 20:50:53.702915,All,7,4,0
2026-03-12 20:50:53.841340,All,7,4,2
2026-03-12 20:50:53.982933,All,7,4,1
2026-03-12 20:50:54.153861,All,7,4,1
2026-03-12 20:50:54.305292,All,7,4,1
2026-03-12 20:50:54.460958,All,7,4,2
2026-03-12 20:50:54.602952,All,7,4,1
2026-03-12 20:50:54.720269,All,7,5,1
2026-03-12 20:50:54.852222,All,7,5,0
2026-03-12 20:50:54.969347,All,7,5,0
2026-03-12 20:50:55.094281,All,7,5,0
2026-03-12 20:50:55.209212,All,7,5,0
2026-03-12 20:50:55.324336,All,7,5,0
2026-03-12 20:50:55.456278,All,7,5,0
2026-03-12 20:50:55.569770,All,7,5,0
2026-03-12 20:50:55.687802,All,7,5,0
2026-03-12 20:50:55.801967,All,7,5,0
2026-03-12 20:50:55.927569,All,7,5,0
2026-03-12 20:50:56.039259,All,7,5,0
2026-03-12 20:50:56.159591,All,7,5,1
2026-03-12 20:50:56.301030,All,7,5,1
2026-03-12 20:50:56.425818,All,7,5,1
2026-03-12 20:50:56.542553,All,7,5,0
2026-03-12 20:50:56.652938,All,7,5,0
2026-03-12 20:50:56.776800,All,7,5,0
2026-03-12 20:50:56.888321,All,7,5,0
2026-03-12 20:50:57.051819,All,7,5,0
2026-03-12 20:50:57.197586,All,7,5,0
2026-03-12 20:50:57.332809,All,7,5,0
2026-03-12 20:50:57.493077,All,7,5,0
2026-03-12 20:50:57.626387,All,7,5,0
2026-03-12 20:50:57.745540,All,7,5,0
2026-03-12 20:50:57.857881,All,7,5,1
2026-03-12 20:50:57.968475,All,7,5,2
2026-03-12 20:50:58.097093,All,7,5,1
2026-03-12 20:50:58.207289,All,7,5,0
2026-03-12 20:50:58.336058,All,7,5,1
2026-03-12 20:50:58.450710,All,7,5,0
2026-03-12 20:50:58.579739,All,7,5,0
2026-03-12 20:50:58.692291,All,7,5,0
2026-03-12 20:50:58.806244,All,7,5,0
2026-03-12 20:50:58.917085,All,7,5,0
2026-03-12 20:50:59.031235,All,7,5,0
2026-03-12 20:50:59.162584,All,7,5,1
2026-03-12 20:50:59.281540,All,7,5,0
2026-03-12 20:50:59.411424,All,7,5,0
2026-03-12 20:50:59.520565,All,7,5,0
2026-03-12 20:50:59.640530,All,7,5,0
2026-03-12 20:50:59.747028,All,7,5,1
2026-03-12 20:50:59.862336,All,7,5,2
2026-03-12 20:50:59.972331,All,7,5,1
2026-03-12 20:51:00.089929,All,7,5,1
2026-03-12 20:51:00.210665,All,7,5,1
2026-03-12 20:51:00.319764,All,7,5,2
2026-03-12 20:51:00.444423,All,7,5,2
2026-03-12 20:51:00.552956,All,7,5,3
2026-03-12 20:51:00.665859,All,7,5,3
2026-03-12 20:51:00.794035,All,7,5,1
2026-03-12 20:51:00.910973,All,7,5,1
2026-03-12 20:51:01.038011,All,7,5,1
2026-03-12 20:51:01.154580,All,7,5,1
2026-03-12 20:51:01.280006,All,7,5,1
2026-03-12 20:51:01.392697,All,7,5,1
2026-03-12 20:51:01.513690,All,7,5,1
2026-03-12 20:51:01.626332,All,7,5,1
2026-03-12 20:51:01.740426,All,7,5,1
2026-03-12 20:51:01.869462,All,7,5,2
2026-03-12 20:51:01.983328,All,7,5,1
2026-03-12 20:51:02.100575,All,7,5,1
2026-03-12 20:51:02.213546,All,7,5,1
2026-03-12 20:51:02.345689,All,7,5,1
2026-03-12 20:51:02.489688,All,7,5,2
2026-03-12 20:51:02.643305,All,7,5,2
2026-03-12 20:51:02.756742,All,7,5,1
2026-03-12 20:51:02.884394,All,7,5,2
2026-03-12 20:51:03.028359,All,7,5,2
2026-03-12 20:51:03.153572,All,7,5,2
2026-03-12 20:51:03.263891,All,7,5,1
2026-03-12 20:51:03.391462,All,7,5,2
